dist,adv_out
0.1,0.3084762
0.1,0.27633095
0.1,0.24316682
0.1,0.26885188
0.1,0.13804957
0.1,0.24988714
0.1,0.16888705
0.1,0.21883193
0.1,0.2100667
0.1,0.102006584
0.1,0.08921543
0.1,0.090263635
0.1,0.28139067
0.1,0.08921543
0.1,0.08921543
0.1,0.31348324
0.1,0.14992428
0.1,0.289155
0.1,0.23079157
0.1,0.17901087
0.1,0.22977118
0.1,0.24823597
0.1,0.3136106
0.1,0.3380767
0.1,0.31170535
0.2,0.33635777
0.2,0.37512988
0.2,0.47727278
0.2,0.5912414
0.2,0.35296172
0.2,0.3839995
0.2,0.2693316
0.2,0.42928937
0.2,0.5220203
0.2,0.447333
0.2,0.3802551
0.2,0.34340328
0.2,0.35620573
0.2,0.61540985
0.2,0.22196718
0.2,0.31561184
0.2,0.24428654
0.2,0.37329054
0.2,0.5452323
0.2,0.32030296
0.2,0.464601
0.2,0.2652412
0.2,0.2856149
0.2,0.5150422
0.2,0.48046368
0.3,0.6180749
0.3,0.32135588
0.3,0.48070198
0.3,0.57116616
0.3,0.2943138
0.3,0.6126029
0.3,0.3072423
0.3,0.36353388
0.3,0.57423896
0.3,0.24605623
0.3,0.43287396
0.3,0.27499452
0.3,0.37989628
0.3,0.47524393
0.3,0.31396827
0.3,0.5793829
0.3,0.26358032
0.3,0.35962105
0.3,0.47225618
0.3,0.31316757
0.3,0.58886755
0.3,0.61893797
0.3,0.4348889
0.3,0.51956326
0.3,0.39960867
0.4,0.534367
0.4,0.5878189
0.4,0.561129
0.4,0.5233283
0.4,0.5069499
0.4,0.55153054
0.4,0.53622454
0.4,0.5910246
0.4,0.62093157
0.4,0.4124891
0.4,0.36387262
0.4,0.44820794
0.4,0.4590885
0.4,0.46261075
0.4,0.35532266
0.4,0.46398544
0.4,0.45878506
0.4,0.4059229
0.4,0.5233302
0.4,0.54772854
0.4,0.5302571
0.4,0.46459925
0.4,0.64828664
0.4,0.45783728
0.4,0.7015249
0.5,0.74136996
0.5,0.71456134
0.5,0.7165613
0.5,0.5449785
0.5,0.68507063
0.5,0.7227728
0.5,0.7362656
0.5,0.5709695
0.5,0.52299756
0.5,0.5881755
0.5,0.7270825
0.5,0.59608984
0.5,0.62502563
0.5,0.74347913
0.5,0.5912235
0.5,0.6335664
0.5,0.71008825
0.5,0.5683923
0.5,0.53146553
0.5,0.4599061
0.5,0.6907783
0.5,0.70344114
0.5,0.5868393
0.5,0.7323953
0.5,0.59906036
0.6,0.79956317
0.6,0.609372
0.6,0.6855299
0.6,0.7862724
0.6,0.53360665
0.6,0.69991964
0.6,0.5548219
0.6,0.74519676
0.6,0.70161766
0.6,0.4587969
0.6,0.60775876
0.6,0.6817217
0.6,0.7166089
0.6,0.73147285
0.6,0.59693825
0.6,0.65380955
0.6,0.60886765
0.6,0.6336088
0.6,0.675405
0.6,0.44785166
0.6,0.71348196
0.6,0.7626203
0.6,0.6846914
0.6,0.6516149
0.6,0.53910774
0.7,0.67827386
0.7,0.53752273
0.7,0.62200296
0.7,0.69097453
0.7,0.7192593
0.7,0.7146396
0.7,0.56794566
0.7,0.7161595
0.7,0.6750408
0.7,0.53322166
0.7,0.6562542
0.7,0.5717927
0.7,0.63841534
0.7,0.6938412
0.7,0.5389301
0.7,0.70073223
0.7,0.5254216
0.7,0.56467056
0.7,0.6120682
0.7,0.6821294
0.7,0.6787927
0.7,0.7345648
0.7,0.62926364
0.7,0.74542415
0.7,0.7858489
0.8,0.56978977
0.8,0.7730551
0.8,0.5173342
0.8,0.6926567
0.8,0.6187489
0.8,0.5701029
0.8,0.64219445
0.8,0.5398087
0.8,0.59004253
0.8,0.49970308
0.8,0.6078929
0.8,0.88027227
0.8,0.65251076
0.8,0.6882416
0.8,0.7951709
0.8,0.6670842
0.8,0.6568613
0.8,0.49376106
0.8,0.5932026
0.8,0.6744671
0.8,0.71375704
0.8,0.7564251
0.8,0.6635053
0.8,0.6996565
0.8,0.63813084
0.9,0.715536
0.9,0.59550035
0.9,0.75816673
0.9,0.63082355
0.9,0.66107243
0.9,0.66931385
0.9,0.602184
0.9,0.661431
0.9,0.5762257
0.9,0.65290993
0.9,0.7770442
0.9,0.6299889
0.9,0.77341497
0.9,0.7189306
0.9,0.66234505
0.9,0.55999374
0.9,0.52485275
0.9,0.7276249
0.9,0.6968794
0.9,0.6710782
0.9,0.8535011
0.9,0.75371057
0.9,0.7599149
0.9,0.7048212
0.9,0.7646936
