dist,adv_out
0.1,0.41709867
0.1,0.60043234
0.1,0.35545146
0.1,0.27601588
0.1,0.3426215
0.1,0.46966153
0.1,0.6329003
0.1,0.39861685
0.1,0.25013536
0.1,0.3542658
0.1,0.49893987
0.1,0.49440652
0.1,0.28670442
0.1,0.21139379
0.1,0.33899432
0.1,0.42764646
0.1,0.62307864
0.1,0.41895276
0.1,0.26168662
0.1,0.39963275
0.1,0.39296868
0.1,0.56541306
0.1,0.3943174
0.1,0.31268916
0.1,0.36011234
0.2,0.38033068
0.2,0.3270929
0.2,0.43093956
0.2,0.42365128
0.2,0.5655265
0.2,0.361848
0.2,0.25013536
0.2,0.33959484
0.2,0.3446923
0.2,0.63099885
0.2,0.3032317
0.2,0.20660022
0.2,0.20987827
0.2,0.24907345
0.2,0.5974672
0.2,0.34972006
0.2,0.28524798
0.2,0.35499674
0.2,0.34626204
0.2,0.57554275
0.2,0.3658196
0.2,0.31268916
0.2,0.34801164
0.2,0.3929782
0.2,0.5272546
0.3,0.23820373
0.3,0.2985903
0.3,0.2806291
0.3,0.3005887
0.3,0.41895986
0.3,0.25013536
0.3,0.3313409
0.3,0.25013536
0.3,0.30037558
0.3,0.43450934
0.3,0.22375247
0.3,0.34128582
0.3,0.24677208
0.3,0.2392799
0.3,0.4561655
0.3,0.2631281
0.3,0.33181077
0.3,0.27829844
0.3,0.3032027
0.3,0.42931753
0.3,0.31268916
0.3,0.31268916
0.3,0.31268916
0.3,0.33352715
0.3,0.40382534
0.4,0.33559844
0.4,0.30402532
0.4,0.32790497
0.4,0.3401132
0.4,0.34523267
0.4,0.36859956
0.4,0.3471634
0.4,0.32576412
0.4,0.33789304
0.4,0.37765533
0.4,0.36846048
0.4,0.31732482
0.4,0.23538232
0.4,0.33303434
0.4,0.42302644
0.4,0.38413924
0.4,0.3712762
0.4,0.32384437
0.4,0.3488558
0.4,0.3688169
0.4,0.34350675
0.4,0.31405193
0.4,0.31268916
0.4,0.3480537
0.4,0.31268916
0.5,0.4844739
0.5,0.6249042
0.5,0.5705444
0.5,0.53065234
0.5,0.46130392
0.5,0.61572194
0.5,0.60300386
0.5,0.6529573
0.5,0.58991826
0.5,0.53398585
0.5,0.5527457
0.5,0.59256274
0.5,0.618465
0.5,0.5945883
0.5,0.46772122
0.5,0.5293496
0.5,0.5834362
0.5,0.6309908
0.5,0.5515668
0.5,0.4910465
0.5,0.5068512
0.5,0.57960033
0.5,0.5953664
0.5,0.53303856
0.5,0.49155962
0.6,0.5242135
0.6,0.6059704
0.6,0.61501616
0.6,0.5847141
0.6,0.6183583
0.6,0.599065
0.6,0.64726496
0.6,0.64639634
0.6,0.6202544
0.6,0.6647861
0.6,0.6103108
0.6,0.6495848
0.6,0.62063074
0.6,0.4872058
0.6,0.59486043
0.6,0.57144266
0.6,0.6492849
0.6,0.65913063
0.6,0.59058887
0.6,0.60788757
0.6,0.58486885
0.6,0.63353395
0.6,0.5793429
0.6,0.58211976
0.6,0.5891743
0.7,0.6512103
0.7,0.65227336
0.7,0.64946043
0.7,0.71442986
0.7,0.60895985
0.7,0.5855217
0.7,0.6940745
0.7,0.7176018
0.7,0.7194618
0.7,0.5705204
0.7,0.58994555
0.7,0.66277003
0.7,0.6979391
0.7,0.65674543
0.7,0.56792563
0.7,0.67037183
0.7,0.6722656
0.7,0.71562773
0.7,0.7254351
0.7,0.64018136
0.7,0.6264908
0.7,0.6463022
0.7,0.6911999
0.7,0.72449386
0.7,0.56189984
0.8,0.6307736
0.8,0.7211461
0.8,0.754413
0.8,0.71234816
0.8,0.79284227
0.8,0.68830705
0.8,0.74256414
0.8,0.7496088
0.8,0.71553147
0.8,0.8237435
0.8,0.70153356
0.8,0.67636263
0.8,0.7142927
0.8,0.6986996
0.8,0.6951215
0.8,0.69737965
0.8,0.719389
0.8,0.74033934
0.8,0.7172068
0.8,0.8240612
0.8,0.7161068
0.8,0.7030225
0.8,0.7826301
0.8,0.7070433
0.8,0.8184515
0.9,0.68020755
0.9,0.71757966
0.9,0.66139644
0.9,0.6583984
0.9,0.7435081
0.9,0.75073004
0.9,0.70671225
0.9,0.7129974
0.9,0.7446387
0.9,0.7127147
0.9,0.7438886
0.9,0.69714105
0.9,0.66400695
0.9,0.65526795
0.9,0.75481284
0.9,0.78266793
0.9,0.752415
0.9,0.71592265
0.9,0.7184401
0.9,0.7683173
0.9,0.72027767
0.9,0.7187631
0.9,0.7030381
0.9,0.7241735
0.9,0.74346113
