dist,adv_out
0.1,0.62096274
0.1,0.53328276
0.1,0.45621154
0.1,0.5284556
0.1,0.38395283
0.1,0.63422036
0.1,0.51679885
0.1,0.46267536
0.1,0.53225696
0.1,0.45374423
0.1,0.58508694
0.1,0.4440713
0.1,0.4251255
0.1,0.49819875
0.1,0.28890365
0.1,0.5180102
0.1,0.5456818
0.1,0.47742635
0.1,0.58378345
0.1,0.40543896
0.1,0.5016485
0.1,0.51377225
0.1,0.46087426
0.1,0.54165864
0.1,0.4021122
0.2,0.48564458
0.2,0.4339905
0.2,0.4543613
0.2,0.38466
0.2,0.45543617
0.2,0.4572741
0.2,0.379459
0.2,0.49243283
0.2,0.4563058
0.2,0.4781602
0.2,0.48301545
0.2,0.33636326
0.2,0.44832674
0.2,0.4021858
0.2,0.41987613
0.2,0.45445687
0.2,0.46770316
0.2,0.4659453
0.2,0.44959003
0.2,0.46399957
0.2,0.47422826
0.2,0.39163256
0.2,0.46095562
0.2,0.45908675
0.2,0.45305735
0.3,0.42916113
0.3,0.40176108
0.3,0.3926149
0.3,0.33897525
0.3,0.35279775
0.3,0.44656408
0.3,0.45571
0.3,0.3897217
0.3,0.30273938
0.3,0.42851168
0.3,0.41003528
0.3,0.37186825
0.3,0.40304717
0.3,0.3254773
0.3,0.35378662
0.3,0.41290218
0.3,0.3720432
0.3,0.405922
0.3,0.32451564
0.3,0.40354592
0.3,0.40751356
0.3,0.40539405
0.3,0.3782819
0.3,0.3470381
0.3,0.42055
0.4,0.42722034
0.4,0.4287466
0.4,0.39038664
0.4,0.43805087
0.4,0.36476058
0.4,0.528767
0.4,0.54202855
0.4,0.4435237
0.4,0.473877
0.4,0.41176772
0.4,0.5017381
0.4,0.5226105
0.4,0.42365336
0.4,0.49039978
0.4,0.42097366
0.4,0.45843822
0.4,0.47712606
0.4,0.42497116
0.4,0.44317323
0.4,0.3527724
0.4,0.43844837
0.4,0.46247858
0.4,0.40878224
0.4,0.44689283
0.4,0.3200666
0.5,0.5135886
0.5,0.5493948
0.5,0.53028727
0.5,0.58646643
0.5,0.4446449
0.5,0.58111227
0.5,0.6426124
0.5,0.5616559
0.5,0.64007795
0.5,0.52159077
0.5,0.5046214
0.5,0.59335566
0.5,0.55078244
0.5,0.58860844
0.5,0.5789809
0.5,0.5340653
0.5,0.591894
0.5,0.538518
0.5,0.6048916
0.5,0.52841717
0.5,0.5092952
0.5,0.56587297
0.5,0.5386539
0.5,0.59274113
0.5,0.51156855
0.6,0.45640138
0.6,0.462091
0.6,0.53475714
0.6,0.59381086
0.6,0.43947646
0.6,0.49405837
0.6,0.51977444
0.6,0.5695282
0.6,0.61402154
0.6,0.524089
0.6,0.3801664
0.6,0.4566452
0.6,0.5907275
0.6,0.5755673
0.6,0.46981674
0.6,0.45080024
0.6,0.5120705
0.6,0.55879766
0.6,0.5905996
0.6,0.48570353
0.6,0.5005311
0.6,0.50296265
0.6,0.55947435
0.6,0.56471914
0.6,0.52877164
0.7,0.5575983
0.7,0.54682165
0.7,0.45669648
0.7,0.49849212
0.7,0.53765386
0.7,0.59524393
0.7,0.63770187
0.7,0.5023769
0.7,0.5765011
0.7,0.5956202
0.7,0.576708
0.7,0.5535748
0.7,0.46275747
0.7,0.52029306
0.7,0.5162448
0.7,0.60289365
0.7,0.6233066
0.7,0.5125149
0.7,0.57813245
0.7,0.59895116
0.7,0.5848317
0.7,0.62300754
0.7,0.5595412
0.7,0.56889343
0.7,0.59196085
0.8,0.5705023
0.8,0.51457
0.8,0.6268942
0.8,0.60932493
0.8,0.49067944
0.8,0.6390202
0.8,0.60328734
0.8,0.690306
0.8,0.68209505
0.8,0.5677892
0.8,0.5675348
0.8,0.5199013
0.8,0.60912764
0.8,0.61570954
0.8,0.33812532
0.8,0.6674283
0.8,0.6093183
0.8,0.6724587
0.8,0.63976985
0.8,0.55268556
0.8,0.621821
0.8,0.6490264
0.8,0.6127548
0.8,0.6398883
0.8,0.5532546
0.9,0.5726615
0.9,0.5698452
0.9,0.755672
0.9,0.5267749
0.9,0.59085596
0.9,0.6919845
0.9,0.6142771
0.9,0.76940507
0.9,0.5966302
0.9,0.59211546
0.9,0.63635826
0.9,0.425881
0.9,0.7121562
0.9,0.46665096
0.9,0.39925778
0.9,0.66844803
0.9,0.65189224
0.9,0.76785237
0.9,0.616252
0.9,0.6655815
0.9,0.62499356
0.9,0.6015899
0.9,0.74494433
0.9,0.5976903
0.9,0.67664737
